Year	Size	Type
20y	0.24 	contig
20y	0.30 	contig
20y	0.37 	contig
20y	0.42 	contig
20y	0.45 	contig
20y	0.47 	contig
20y	0.64 	contig
20y	0.72 	contig
20y	0.74 	contig
20y	0.80 	contig
20y	0.83 	contig
20y	0.83 	contig
20y	0.94 	contig
20y	1.10 	contig
20y	1.10 	contig
20y	1.28 	contig
20y	1.29 	contig
20y	1.29 	contig
20y	1.43 	contig
20y	1.48 	contig
20y	1.49 	contig
20y	1.51 	contig
20y	1.55 	contig
20y	1.60 	contig
20y	1.71 	contig
20y	1.74 	contig
20y	1.76 	contig
20y	1.87 	contig
20y	1.88 	contig
20y	1.88 	contig
20y	1.89 	contig
20y	2.15 	contig
20y	2.20 	contig
20y	2.20 	contig
20y	2.32 	contig
20y	2.34 	contig
20y	2.44 	contig
20y	2.46 	contig
20y	2.48 	contig
20y	2.55 	contig
20y	2.56 	contig
20y	2.77 	contig
20y	2.79 	contig
20y	2.83 	contig
20y	2.94 	contig
20y	3.04 	contig
20y	3.10 	contig
20y	3.17 	contig
20y	3.31 	contig
20y	3.42 	contig
20y	3.46 	contig
20y	3.50 	contig
20y	3.52 	contig
20y	3.56 	contig
20y	3.70 	contig
20y	3.71 	contig
20y	3.75 	contig
20y	3.83 	contig
20y	4.09 	contig
20y	4.16 	contig
20y	4.19 	contig
20y	4.21 	contig
20y	4.25 	contig
20y	4.25 	contig
20y	4.26 	contig
20y	4.30 	contig
20y	4.40 	contig
20y	4.51 	contig
20y	4.60 	contig
20y	4.69 	contig
20y	4.86 	contig
20y	4.87 	contig
20y	4.90 	contig
20y	5.00 	contig
20y	5.00 	contig
20y	5.05 	contig
20y	5.08 	contig
20y	5.10 	contig
20y	5.16 	contig
20y	5.65 	contig
20y	5.72 	contig
20y	5.79 	contig
20y	5.81 	contig
20y	5.84 	contig
20y	5.94 	contig
20y	6.01 	contig
20y	6.08 	contig
20y	6.25 	contig
20y	6.37 	contig
20y	6.44 	contig
20y	6.50 	contig
20y	6.57 	contig
20y	6.69 	contig
20y	6.69 	contig
20y	6.76 	contig
20y	7.12 	contig
20y	7.21 	contig
20y	7.21 	contig
20y	7.26 	contig
20y	7.32 	contig
20y	7.40 	contig
20y	7.47 	contig
20y	7.99 	contig
20y	8.07 	contig
20y	8.08 	contig
20y	8.09 	contig
20y	8.20 	contig
20y	8.21 	contig
20y	8.26 	contig
20y	8.26 	contig
20y	8.38 	contig
20y	8.45 	contig
20y	8.70 	contig
20y	8.80 	contig
20y	9.15 	contig
20y	9.17 	contig
20y	9.37 	contig
20y	9.50 	contig
20y	9.53 	contig
20y	9.60 	contig
20y	9.72 	contig
20y	9.76 	contig
20y	10.01 	contig
20y	10.10 	contig
20y	10.12 	contig
20y	10.17 	contig
20y	10.30 	contig
20y	10.30 	contig
3y	10.57 	contig
20y	10.70 	contig
20y	10.79 	contig
20y	11.00 	contig
20y	11.00 	contig
3y	11.11 	contig
20y	11.14 	contig
20y	11.20 	contig
20y	11.36 	contig
20y	11.45 	contig
20y	11.60 	contig
20y	11.70 	contig
20y	11.88 	contig
20y	12.18 	contig
20y	12.38 	contig
3y	12.47 	contig
20y	12.47 	contig
20y	12.50 	contig
3y	12.76 	contig
20y	12.76 	contig
20y	12.80 	contig
20y	13.00 	contig
3y	13.00 	contig
20y	13.00 	contig
20y	13.09 	contig
3y	13.11 	contig
20y	13.20 	contig
20y	13.40 	contig
3y	13.53 	contig
20y	13.65 	contig
20y	13.71 	contig
20y	14.00 	contig
3y	14.00 	contig
20y	14.18 	contig
20y	14.30 	contig
3y	14.35 	contig
20y	14.40 	contig
20y	14.51 	contig
20y	14.60 	contig
20y	14.60 	contig
20y	14.80 	contig
20y	14.95 	contig
20y	15.00 	contig
20y	15.13 	contig
20y	15.20 	contig
3y	15.60 	contig
20y	16.00 	contig
20y	16.10 	contig
20y	16.10 	contig
3y	16.10 	contig
3y	16.15 	contig
20y	16.18 	contig
20y	16.20 	contig
20y	16.24 	contig
20y	16.31 	contig
20y	16.40 	contig
20y	16.40 	contig
20y	16.48 	contig
20y	16.57 	contig
20y	16.60 	contig
20y	16.85 	contig
3y	16.90 	contig
20y	17.00 	contig
20y	17.04 	contig
3y	17.06 	contig
20y	17.06 	contig
20y	17.38 	contig
20y	17.50 	contig
20y	17.50 	contig
20y	17.91 	contig
20y	18.07 	contig
20y	18.07 	contig
20y	18.18 	contig
20y	18.20 	contig
20y	18.70 	contig
20y	18.80 	contig
20y	18.90 	contig
20y	18.95 	contig
20y	19.00 	contig
20y	19.00 	contig
20y	19.00 	contig
20y	19.01 	contig
3y	19.14 	contig
20y	19.32 	contig
20y	19.60 	contig
3y	19.67 	contig
20y	19.80 	contig
20y	19.80 	contig
20y	20.00 	contig
20y	20.00 	contig
20y	20.13 	contig
20y	20.30 	contig
20y	20.40 	contig
3y	20.53 	contig
20y	20.60 	contig
20y	20.76 	contig
20y	20.80 	contig
3y	20.84 	contig
20y	20.90 	contig
20y	21.00 	contig
20y	21.00 	contig
3y	21.03 	contig
20y	21.10 	contig
20y	21.10 	contig
20y	21.45 	contig
20y	21.50 	contig
20y	21.58 	contig
20y	21.82 	contig
20y	21.90 	contig
20y	21.95 	contig
20y	21.96 	contig
20y	21.98 	contig
20y	22.40 	contig
3y	22.45 	contig
20y	22.62 	contig
20y	22.72 	contig
20y	23.20 	contig
20y	23.54 	contig
20y	23.90 	contig
20y	24.00 	contig
3y	24.00 	contig
20y	24.04 	contig
20y	24.20 	contig
3y	24.50 	contig
20y	24.63 	contig
20y	24.66 	contig
20y	24.70 	contig
20y	24.89 	contig
20y	25.00 	contig
20y	25.01 	contig
20y	25.02 	contig
20y	25.12 	contig
20y	25.20 	contig
20y	25.30 	contig
20y	25.36 	contig
20y	25.40 	contig
20y	25.40 	contig
20y	25.49 	contig
20y	25.59 	contig
20y	25.90 	contig
3y	26.00 	contig
20y	26.04 	contig
20y	26.28 	contig
20y	26.30 	contig
20y	26.38 	contig
20y	26.50 	contig
20y	26.54 	contig
20y	26.55 	contig
20y	26.64 	contig
20y	26.70 	contig
20y	26.90 	contig
3y	27.00 	contig
20y	27.00 	contig
20y	27.00 	contig
3y	27.09 	contig
20y	27.29 	contig
20y	27.38 	contig
20y	27.41 	contig
20y	27.60 	contig
20y	27.70 	contig
20y	27.90 	contig
20y	27.90 	contig
20y	28.10 	contig
20y	28.34 	contig
20y	28.40 	contig
3y	28.58 	contig
20y	28.86 	contig
20y	28.90 	contig
20y	28.98 	contig
20y	29.00 	contig
20y	29.30 	contig
20y	29.48 	contig
20y	29.60 	contig
20y	29.70 	contig
20y	30.00 	contig
3y	30.00 	contig
20y	30.00 	contig
20y	30.00 	contig
20y	30.60 	contig
3y	30.70 	contig
20y	31.00 	contig
20y	31.04 	contig
20y	31.43 	contig
20y	31.80 	contig
20y	31.88 	contig
20y	31.90 	contig
20y	32.00 	contig
3y	32.13 	contig
20y	32.17 	contig
20y	32.21 	contig
20y	32.30 	contig
20y	32.33 	contig
20y	32.40 	contig
20y	32.56 	contig
20y	32.69 	contig
20y	32.80 	contig
20y	33.10 	contig
20y	33.10 	contig
20y	33.90 	contig
20y	34.00 	contig
20y	34.00 	contig
20y	34.00 	contig
20y	34.15 	contig
20y	34.23 	contig
20y	34.60 	contig
20y	34.70 	contig
20y	34.90 	contig
20y	34.99 	contig
20y	35.00 	contig
20y	35.00 	contig
20y	35.10 	contig
20y	35.32 	contig
20y	35.40 	contig
20y	35.70 	contig
20y	35.95 	contig
20y	36.00 	contig
20y	36.00 	contig
20y	36.70 	contig
3y	36.74 	contig
20y	36.74 	contig
20y	36.90 	contig
20y	37.00 	contig
20y	37.44 	contig
20y	37.56 	contig
20y	37.69 	contig
20y	37.70 	contig
20y	37.96 	contig
20y	38.00 	contig
3y	38.16 	contig
20y	38.70 	contig
20y	38.80 	contig
20y	38.90 	contig
3y	38.97 	contig
20y	39.00 	contig
20y	39.23 	contig
20y	39.30 	contig
20y	39.32 	contig
3y	39.33 	contig
3y	39.37 	contig
3y	39.37 	contig
20y	39.43 	contig
20y	39.49 	contig
20y	39.50 	contig
20y	39.97 	contig
20y	40.00 	contig
3y	40.00 	contig
20y	40.22 	contig
20y	40.40 	contig
20y	40.50 	contig
20y	40.70 	contig
20y	41.00 	contig
20y	41.70 	contig
20y	41.80 	contig
3y	42.00 	contig
20y	42.00 	contig
3y	42.25 	contig
20y	43.00 	contig
20y	43.04 	contig
20y	43.06 	contig
20y	43.10 	contig
20y	43.42 	contig
20y	43.65 	contig
20y	43.68 	contig
20y	43.90 	contig
20y	44.00 	contig
20y	44.70 	contig
20y	44.84 	contig
20y	44.90 	contig
20y	45.00 	contig
20y	45.26 	contig
20y	45.40 	contig
20y	45.50 	contig
20y	45.58 	contig
3y	45.66 	contig
20y	45.70 	contig
20y	45.99 	contig
20y	46.15 	contig
20y	46.15 	contig
20y	46.49 	contig
20y	46.50 	contig
20y	47.00 	contig
3y	47.00 	contig
20y	47.63 	contig
20y	48.20 	contig
20y	48.30 	contig
20y	48.58 	contig
20y	48.81 	contig
20y	49.21 	contig
20y	49.89 	contig
20y	49.94 	contig
20y	50.25 	contig
3y	50.25 	contig
20y	50.30 	contig
20y	51.20 	contig
3y	51.20 	contig
3y	51.60 	contig
20y	52.00 	contig
20y	52.00 	contig
20y	52.00 	contig
20y	52.20 	contig
20y	52.30 	contig
20y	53.29 	contig
20y	54.49 	contig
3y	54.51 	contig
3y	55.15 	contig
20y	55.40 	contig
20y	56.10 	contig
20y	56.20 	contig
20y	57.38 	contig
20y	57.70 	contig
20y	58.86 	contig
20y	59.00 	contig
20y	59.50 	contig
20y	60.12 	contig
20y	60.51 	contig
20y	60.63 	contig
20y	61.00 	contig
20y	61.00 	contig
20y	61.80 	contig
20y	62.60 	contig
20y	62.61 	contig
20y	62.80 	contig
20y	63.65 	contig
20y	63.69 	contig
20y	64.68 	contig
20y	65.00 	contig
20y	65.48 	contig
20y	65.90 	contig
20y	66.00 	contig
20y	66.86 	contig
20y	66.97 	contig
20y	67.07 	contig
20y	67.20 	contig
20y	67.22 	contig
20y	68.00 	contig
3y	68.40 	contig
3y	68.40 	contig
3y	68.70 	contig
20y	68.90 	contig
3y	69.00 	contig
20y	69.35 	contig
3y	70.00 	contig
20y	70.16 	contig
20y	72.00 	contig
20y	72.00 	contig
20y	72.40 	contig
20y	72.64 	contig
3y	73.30 	contig
3y	73.43 	contig
3y	74.00 	contig
20y	74.65 	contig
20y	74.70 	contig
3y	75.50 	contig
20y	75.70 	contig
3y	76.10 	contig
20y	76.60 	contig
20y	77.00 	contig
20y	77.23 	contig
3y	78.00 	contig
20y	78.80 	contig
20y	79.00 	contig
20y	79.10 	contig
20y	79.72 	contig
3y	79.80 	contig
20y	79.96 	contig
20y	80.00 	contig
20y	80.00 	contig
20y	80.07 	contig
20y	80.10 	contig
3y	80.20 	contig
20y	81.00 	contig
3y	82.10 	contig
20y	82.27 	contig
20y	82.60 	contig
20y	82.65 	contig
20y	82.80 	contig
3y	83.00 	contig
20y	83.24 	contig
20y	83.70 	contig
20y	84.40 	contig
20y	85.29 	contig
3y	86.00 	contig
3y	86.00 	contig
3y	86.36 	contig
20y	87.00 	contig
20y	87.01 	contig
3y	88.00 	contig
20y	88.17 	contig
3y	88.46 	contig
3y	88.70 	contig
20y	89.00 	contig
20y	89.00 	contig
20y	89.56 	contig
20y	90.40 	contig
20y	91.77 	contig
3y	92.10 	contig
3y	92.53 	contig
20y	93.00 	contig
20y	95.00 	contig
20y	95.17 	contig
20y	96.80 	contig
20y	97.00 	contig
20y	97.16 	contig
20y	97.58 	contig
20y	99.30 	contig
3y	100.60 	contig
20y	101.58 	contig
20y	102.40 	contig
20y	102.85 	contig
20y	103.90 	contig
3y	104.22 	contig
20y	106.66 	contig
20y	107.00 	contig
20y	107.00 	contig
3y	107.75 	contig
20y	110.03 	contig
20y	110.10 	contig
3y	110.84 	contig
20y	110.90 	contig
20y	112.74 	contig
20y	113.00 	contig
3y	114.30 	contig
3y	116.61 	contig
20y	116.80 	contig
20y	117.00 	contig
20y	119.00 	contig
20y	119.80 	contig
3y	120.10 	contig
20y	123.00 	contig
3y	123.86 	contig
20y	124.50 	contig
20y	126.00 	contig
20y	126.30 	contig
20y	126.50 	contig
20y	126.81 	contig
3y	130.00 	contig
3y	130.00 	contig
20y	130.70 	contig
20y	131.00 	contig
20y	132.60 	contig
20y	133.90 	contig
20y	134.10 	contig
3y	135.00 	contig
20y	135.60 	contig
20y	136.39 	contig
3y	145.43 	contig
3y	149.78 	contig
20y	152.70 	contig
3y	154.00 	contig
3y	155.50 	contig
20y	156.00 	contig
3y	157.99 	contig
20y	158.00 	contig
20y	159.00 	contig
20y	161.23 	contig
3y	161.37 	contig
20y	163.00 	contig
3y	164.00 	contig
3y	170.00 	contig
3y	171.00 	contig
20y	171.17 	contig
20y	176.00 	contig
3y	176.25 	contig
3y	176.33 	contig
3y	185.50 	contig
3y	186.00 	contig
20y	187.00 	contig
20y	187.10 	contig
20y	188.00 	contig
3y	188.00 	contig
20y	189.40 	contig
20y	194.00 	contig
3y	194.00 	contig
20y	195.40 	contig
20y	196.00 	contig
20y	197.00 	contig
20y	201.16 	contig
20y	204.06 	contig
3y	205.00 	contig
3y	207.00 	contig
20y	211.00 	contig
20y	211.00 	contig
3y	211.20 	contig
3y	212.94 	contig
20y	214.20 	contig
20y	220.89 	contig
3y	221.00 	contig
3y	222.00 	contig
20y	227.40 	contig
3y	228.00 	contig
20y	232.00 	contig
3y	232.30 	contig
20y	236.00 	contig
3y	236.20 	contig
3y	237.00 	contig
3y	237.14 	contig
3y	238.00 	contig
3y	241.00 	contig
3y	245.00 	contig
3y	245.70 	contig
20y	248.70 	contig
3y	248.70 	contig
3y	249.86 	contig
3y	250.60 	contig
20y	251.60 	contig
20y	251.71 	contig
3y	253.76 	contig
20y	255.40 	contig
20y	256.30 	contig
3y	258.20 	contig
3y	261.00 	contig
20y	263.90 	contig
20y	265.90 	contig
20y	268.00 	contig
3y	269.11 	contig
20y	271.00 	contig
20y	271.33 	contig
3y	272.44 	contig
20y	277.87 	contig
3y	281.00 	contig
20y	282.26 	contig
20y	289.50 	contig
3y	289.79 	contig
3y	292.00 	contig
20y	296.00 	contig
3y	300.00 	contig
3y	300.36 	contig
3y	302.55 	contig
3y	304.50 	contig
3y	304.80 	contig
3y	305.76 	contig
3y	310.10 	contig
3y	311.70 	contig
3y	311.70 	contig
20y	313.81 	contig
20y	314.31 	contig
20y	315.00 	contig
3y	319.30 	contig
3y	320.00 	contig
20y	324.00 	contig
3y	325.00 	contig
3y	325.52 	contig
3y	326.00 	contig
3y	330.63 	contig
3y	331.00 	contig
3y	335.00 	contig
3y	335.52 	contig
3y	340.00 	contig
20y	341.00 	contig
3y	341.40 	contig
20y	344.00 	contig
20y	345.17 	contig
20y	347.80 	contig
20y	347.95 	contig
20y	350.00 	contig
3y	350.00 	contig
20y	350.98 	contig
3y	351.00 	contig
3y	351.71 	contig
3y	352.00 	contig
20y	364.90 	contig
3y	366.00 	contig
20y	369.00 	contig
3y	370.00 	contig
20y	377.36 	contig
3y	377.60 	contig
3y	381.90 	contig
3y	381.96 	contig
3y	383.13 	contig
20y	385.89 	contig
3y	386.60 	contig
20y	388.86 	contig
20y	391.60 	contig
3y	394.00 	contig
3y	396.09 	contig
20y	400.00 	contig
3y	409.00 	contig
3y	410.00 	contig
3y	414.00 	contig
3y	418.00 	contig
20y	419.00 	contig
3y	420.00 	contig
3y	420.00 	contig
3y	425.00 	contig
20y	427.00 	contig
3y	431.00 	contig
20y	432.00 	contig
3y	433.90 	contig
20y	434.70 	contig
3y	435.71 	contig
3y	440.00 	contig
3y	442.89 	contig
20y	447.85 	contig
3y	447.85 	contig
3y	450.00 	contig
20y	459.00 	contig
3y	463.00 	contig
20y	463.39 	contig
3y	464.00 	contig
20y	464.90 	contig
20y	466.70 	contig
3y	474.02 	contig
3y	477.64 	contig
3y	480.35 	contig
3y	482.00 	contig
20y	484.30 	contig
20y	492.00 	contig
3y	497.00 	contig
3y	500.00 	contig
3y	500.00 	contig
3y	500.00 	contig
3y	505.21 	contig
20y	505.21 	contig
20y	513.57 	contig
3y	513.85 	contig
3y	514.45 	contig
3y	517.00 	contig
20y	520.00 	contig
3y	530.00 	contig
3y	530.07 	contig
3y	532.84 	contig
20y	539.20 	contig
20y	547.04 	contig
3y	549.44 	contig
20y	550.70 	contig
3y	553.04 	contig
20y	559.40 	contig
3y	560.00 	contig
3y	564.00 	contig
20y	564.04 	contig
3y	570.07 	contig
20y	578.00 	contig
3y	588.00 	contig
3y	593.70 	contig
3y	597.00 	contig
3y	600.00 	contig
20y	600.46 	contig
3y	602.90 	contig
20y	604.00 	contig
3y	605.00 	contig
20y	607.34 	contig
3y	611.00 	contig
3y	612.99 	contig
3y	616.85 	contig
20y	620.00 	contig
3y	629.00 	contig
20y	636.00 	contig
3y	638.00 	contig
20y	642.34 	contig
3y	649.96 	contig
3y	650.00 	contig
3y	650.00 	contig
3y	651.80 	contig
20y	653.00 	contig
3y	657.00 	contig
3y	658.00 	contig
20y	662.00 	contig
20y	666.31 	contig
3y	677.86 	contig
3y	679.50 	contig
3y	691.00 	contig
3y	695.29 	contig
20y	702.00 	contig
3y	702.90 	contig
20y	705.00 	contig
3y	709.00 	contig
3y	710.75 	contig
3y	713.00 	contig
20y	714.00 	contig
20y	719.80 	contig
3y	720.80 	contig
3y	720.86 	contig
3y	730.00 	contig
20y	730.00 	contig
3y	733.89 	contig
3y	734.00 	contig
3y	751.26 	contig
3y	752.00 	contig
20y	773.17 	contig
20y	778.00 	contig
20y	783.90 	contig
3y	784.56 	contig
20y	786.13 	contig
20y	790.58 	contig
20y	791.00 	contig
20y	796.00 	contig
20y	801.00 	contig
3y	804.25 	contig
3y	806.60 	contig
20y	807.00 	contig
3y	820.44 	contig
20y	823.00 	contig
3y	824.14 	contig
3y	828.00 	contig
20y	831.00 	contig
3y	835.80 	contig
3y	836.61 	contig
20y	842.80 	contig
3y	844.00 	contig
3y	844.00 	contig
3y	848.46 	contig
3y	852.40 	contig
20y	858.00 	contig
3y	870.00 	contig
3y	870.00 	contig
3y	871.79 	contig
3y	872.00 	contig
3y	872.00 	contig
3y	881.20 	contig
20y	890.84 	contig
3y	892.05 	contig
3y	892.05 	contig
20y	897.20 	contig
20y	900.00 	contig
3y	900.00 	contig
3y	906.00 	contig
3y	907.00 	contig
3y	908.00 	contig
20y	908.00 	contig
3y	910.00 	contig
3y	924.00 	contig
20y	930.00 	contig
20y	930.00 	contig
20y	944.00 	contig
20y	945.80 	contig
20y	946.00 	contig
3y	946.90 	contig
3y	951.00 	contig
3y	953.45 	contig
3y	955.00 	contig
3y	961.58 	contig
20y	964.70 	contig
3y	966.90 	contig
20y	986.00 	contig
3y	990.00 	contig
20y	1000.00 	contig
3y	1000.00 	contig
20y	1000.00 	contig
3y	1001.00 	contig
3y	1002.00 	contig
20y	1010.00 	contig
20y	1010.00 	contig
3y	1010.00 	contig
3y	1010.00 	contig
20y	1020.00 	contig
3y	1023.00 	contig
3y	1050.00 	contig
3y	1053.47 	contig
3y	1068.93 	contig
3y	1071.00 	contig
3y	1080.00 	contig
20y	1080.00 	contig
3y	1095.00 	contig
20y	1100.00 	contig
20y	1100.00 	contig
3y	1100.00 	contig
3y	1100.00 	contig
20y	1100.00 	contig
3y	1100.00 	contig
3y	1100.00 	contig
20y	1100.00 	contig
20y	1110.00 	contig
3y	1110.00 	contig
20y	1114.00 	contig
3y	1114.00 	contig
3y	1118.78 	contig
20y	1120.00 	contig
3y	1145.03 	contig
20y	1151.00 	contig
3y	1154.00 	contig
3y	1170.00 	contig
20y	1176.00 	contig
3y	1180.00 	contig
3y	1182.00 	contig
3y	1189.62 	contig
20y	1200.00 	contig
20y	1200.00 	contig
3y	1200.00 	contig
3y	1200.00 	contig
3y	1200.00 	contig
3y	1201.04 	contig
3y	1209.00 	contig
3y	1210.00 	contig
3y	1210.00 	contig
20y	1210.50 	contig
20y	1218.69 	contig
3y	1220.00 	contig
3y	1220.00 	contig
3y	1220.00 	contig
3y	1220.00 	contig
3y	1223.00 	contig
3y	1230.00 	contig
3y	1230.00 	contig
3y	1230.00 	contig
3y	1241.00 	contig
3y	1250.00 	contig
20y	1250.00 	contig
3y	1256.98 	contig
20y	1270.00 	contig
3y	1270.00 	contig
20y	1280.00 	contig
3y	1280.00 	contig
3y	1280.20 	contig
3y	1287.00 	contig
3y	1290.00 	contig
20y	1290.00 	contig
3y	1300.00 	contig
3y	1300.00 	contig
3y	1300.00 	contig
20y	1314.22 	contig
3y	1330.00 	contig
3y	1330.00 	contig
3y	1331.00 	contig
3y	1337.42 	contig
3y	1340.00 	contig
3y	1340.00 	contig
3y	1345.85 	contig
20y	1352.00 	contig
20y	1354.00 	contig
3y	1357.00 	contig
3y	1369.00 	contig
20y	1370.00 	contig
3y	1370.00 	contig
3y	1370.00 	contig
3y	1370.00 	contig
3y	1390.00 	contig
3y	1391.02 	contig
3y	1397.09 	contig
20y	1400.00 	contig
3y	1400.00 	contig
3y	1400.00 	contig
3y	1400.00 	contig
3y	1403.42 	contig
3y	1406.00 	contig
20y	1410.00 	contig
3y	1414.00 	contig
20y	1420.00 	contig
3y	1424.70 	contig
20y	1430.00 	contig
3y	1430.00 	contig
3y	1437.06 	contig
3y	1438.00 	contig
3y	1440.00 	contig
20y	1450.00 	contig
3y	1450.00 	contig
3y	1460.00 	contig
3y	1470.00 	contig
20y	1480.00 	contig
20y	1480.00 	contig
3y	1480.00 	contig
3y	1494.00 	contig
20y	1500.00 	contig
3y	1500.00 	contig
20y	1500.00 	contig
3y	1500.00 	contig
3y	1500.00 	contig
3y	1500.00 	contig
3y	1500.00 	contig
20y	1500.00 	contig
3y	1500.00 	contig
3y	1507.00 	contig
20y	1510.00 	contig
3y	1521.17 	contig
3y	1524.72 	contig
3y	1530.00 	contig
3y	1540.00 	contig
20y	1550.00 	contig
3y	1550.00 	contig
20y	1560.00 	contig
20y	1560.00 	contig
20y	1560.00 	contig
20y	1570.00 	contig
20y	1570.00 	contig
3y	1570.00 	contig
3y	1570.00 	contig
3y	1570.00 	contig
3y	1578.00 	contig
3y	1578.60 	contig
3y	1580.00 	contig
3y	1580.00 	contig
3y	1580.00 	contig
20y	1590.00 	contig
20y	1590.00 	contig
20y	1598.61 	contig
3y	1600.00 	contig
3y	1600.00 	contig
3y	1600.00 	contig
3y	1600.00 	contig
3y	1610.00 	contig
3y	1610.00 	contig
3y	1618.00 	contig
3y	1630.00 	contig
3y	1637.00 	contig
3y	1639.00 	contig
20y	1640.00 	contig
3y	1642.00 	contig
3y	1645.00 	contig
3y	1650.00 	contig
3y	1650.00 	contig
3y	1660.00 	contig
20y	1663.34 	contig
3y	1665.00 	contig
20y	1680.00 	contig
20y	1680.00 	contig
3y	1689.00 	contig
20y	1700.00 	contig
3y	1700.00 	contig
20y	1700.00 	contig
20y	1700.00 	contig
20y	1708.00 	contig
3y	1708.37 	contig
3y	1710.00 	contig
3y	1710.00 	contig
3y	1710.00 	contig
3y	1710.00 	contig
3y	1719.00 	contig
3y	1728.00 	contig
20y	1730.00 	contig
20y	1730.00 	contig
3y	1730.00 	contig
3y	1740.00 	contig
20y	1740.00 	contig
3y	1740.00 	contig
3y	1750.00 	contig
20y	1760.00 	contig
20y	1770.00 	contig
3y	1770.00 	contig
3y	1771.07 	contig
20y	1780.00 	contig
3y	1780.00 	contig
3y	1780.00 	contig
3y	1800.00 	contig
3y	1800.00 	contig
3y	1800.00 	contig
20y	1800.00 	contig
3y	1800.00 	contig
3y	1810.00 	contig
20y	1810.00 	contig
20y	1820.00 	contig
3y	1825.00 	contig
20y	1830.00 	contig
20y	1832.00 	contig
3y	1851.12 	contig
3y	1855.00 	contig
3y	1860.00 	contig
3y	1865.01 	contig
3y	1867.00 	contig
3y	1867.00 	contig
20y	1870.00 	contig
3y	1870.00 	contig
20y	1870.00 	contig
3y	1870.00 	contig
3y	1880.00 	contig
3y	1900.00 	contig
3y	1900.00 	contig
3y	1900.00 	contig
3y	1900.00 	contig
20y	1900.00 	contig
3y	1900.00 	contig
3y	1900.00 	contig
3y	1908.00 	contig
20y	1915.00 	contig
3y	1921.46 	contig
3y	1924.46 	contig
3y	1926.00 	contig
3y	1928.00 	contig
3y	1938.00 	contig
20y	1940.00 	contig
3y	1940.00 	contig
3y	1942.00 	contig
3y	1944.00 	contig
3y	1950.00 	contig
3y	1957.00 	contig
3y	1959.00 	contig
3y	1960.00 	contig
3y	1969.00 	contig
20y	1980.00 	contig
3y	1989.00 	contig
20y	1990.00 	contig
20y	1990.00 	contig
20y	1990.00 	contig
3y	2000.00 	contig
3y	2000.00 	contig
20y	2001.00 	contig
3y	2010.00 	contig
3y	2018.00 	contig
3y	2020.00 	contig
3y	2039.16 	contig
3y	2057.59 	contig
3y	2070.00 	contig
20y	2070.00 	contig
3y	2090.00 	contig
3y	2090.00 	contig
3y	2093.00 	contig
20y	2100.00 	contig
3y	2100.00 	contig
20y	2100.00 	contig
3y	2100.00 	contig
3y	2100.00 	contig
3y	2100.00 	contig
20y	2100.00 	contig
3y	2100.00 	contig
20y	2100.00 	contig
20y	2110.00 	contig
3y	2139.93 	contig
3y	2140.00 	contig
3y	2144.00 	contig
3y	2149.60 	contig
20y	2150.00 	contig
3y	2150.00 	contig
3y	2168.00 	contig
3y	2170.00 	contig
3y	2180.00 	contig
20y	2190.00 	contig
3y	2190.00 	contig
3y	2190.00 	contig
20y	2200.00 	contig
20y	2200.00 	contig
